text,label
I love this product,Positive
Worst experience ever,Negative
Very satisfied,Positive
I like the design but hate the battery life , Negative
The service was slow although the food was great , Positive
The product looks cheap but actually works very well , Positive
Although the interface is clean the app crashes often , Negative
I was worried but the experience turned out to be fantastic , Positive
The staff was friendly however the room was dirty , Negative
I thought it would be bad but it exceeded my expectations , Positive
The quality is good although it feels overpriced , Negative
Great features but very poor customer support , Negative
Although expensive it delivers excellent performance , Positive